
1624229979.803959,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229979.805136,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229980.417659,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229981.033337,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229981.340575,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229982.877053,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXY0D2AMLKE2A'}
1624229982.92057,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXY0D2AMLKE2A'}
1624229983.490912,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXY0D2AMLKE2A'}
1624229984.106901,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229984.10835,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229984.273419,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229984.92292,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229985.105429,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229985.641352,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXY0D2AMLKE2A'}
1624229986.87192,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624229986.872529,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624229987.17848,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXY0D2AMLKE2A'}
1624229988.406802,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229988.467194,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229988.620753,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229989.329582,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229989.944664,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229990.049361,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXY0D2AMLKE2A'}
1624229990.864131,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXY0D2AMLKE2A'}
1624229991.02413,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXY0D2AMLKE2A'}
1624229992.401088,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624229992.401563,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AXY0D2AMLKE2A'}
1624230004.382443,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXY0D2AMLKE2A'}
1624230004.383187,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230034.17967,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624230038.482088,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230039.095591,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXY0D2AMLKE2A'}
1624230042.165953,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230042.223677,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXY0D2AMLKE2A'}
1624230044.316157,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXY0D2AMLKE2A'}
