
1623971699.597877,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24T2AUA2ECVED'}
1623971700.518342,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24T2AUA2ECVED'}
1623971702.358927,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971702.976174,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971703.589853,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971705.261171,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971706.669177,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971707.892218,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971708.507676,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971710.964109,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971711.170198,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971711.883253,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971714.035013,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971714.12209,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971714.964189,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971715.462086,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971716.79881,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971718.334573,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971718.957934,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971719.255865,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971720.051885,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971720.791771,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971722.939231,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971723.757049,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971724.782333,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971727.244319,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24T2AUA2ECVED'}
1623971727.855523,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24T2AUA2ECVED'}
1623971728.776046,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24T2AUA2ECVED'}
1623971730.313316,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24T2AUA2ECVED'}
1623971730.926829,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24T2AUA2ECVED'}
1623971739.838856,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24T2AUA2ECVED'}
1623971739.839599,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24T2AUA2ECVED'}
1623971740.454662,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24T2AUA2ECVED'}
1623971742.292236,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24T2AUA2ECVED'}
1623971743.214356,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24T2AUA2ECVED'}
1623971743.29971,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24T2AUA2ECVED'}
1623971745.060181,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24T2AUA2ECVED'}
1623971745.120614,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24T2AUA2ECVED'}
1623971748.436046,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971748.441605,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971748.745308,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971755.201602,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
