
1625192181.046818,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192181.880532,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192183.409102,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192184.94579,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192185.554845,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192186.475334,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192187.092252,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192188.014332,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192188.628882,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192189.240521,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192190.166491,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192190.653826,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192191.491631,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T7Y10HHQ1VLL'}
