
1623977888.204225,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977888.396822,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977889.433644,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977890.050145,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AW0MG225VXWCN'}
1623977890.665634,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AW0MG225VXWCN'}
1623977893.426545,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977893.428346,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AW0MG225VXWCN'}
1623977893.428817,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977893.429667,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AW0MG225VXWCN'}
1623977893.562637,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977894.040789,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AW0MG225VXWCN'}
1623977894.349418,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AW0MG225VXWCN'}
1623977894.962236,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AW0MG225VXWCN'}
1623977895.168381,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AW0MG225VXWCN'}
1623977895.578079,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AW0MG225VXWCN'}
1623977895.805891,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AW0MG225VXWCN'}
1623977896.752901,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977896.754135,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AW0MG225VXWCN'}
1623977926.9126,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977928.449514,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977928.668846,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AW0MG225VXWCN'}
1623977929.67786,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977929.770618,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AW0MG225VXWCN'}
1623977930.907243,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977930.906796,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977931.199933,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977931.827337,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
1623977931.856611,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AW0MG225VXWCN'}
