
1625181844.081899,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2J9USSV2OF2NP'}
1625181844.133265,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2J9USSV2OF2NP'}
1625181845.006391,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2J9USSV2OF2NP'}
1625181845.007219,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2J9USSV2OF2NP'}
1625181845.616346,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2J9USSV2OF2NP'}
1625181845.765377,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2J9USSV2OF2NP'}
1625181846.123583,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2J9USSV2OF2NP'}
1625181846.540731,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2J9USSV2OF2NP'}
1625181847.151359,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2J9USSV2OF2NP'}
1625181847.219129,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2J9USSV2OF2NP'}
1625181847.767877,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2J9USSV2OF2NP'}
1625181847.76868,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2J9USSV2OF2NP'}
1625181848.392416,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2J9USSV2OF2NP'}
1625181848.393196,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2J9USSV2OF2NP'}
1625181849.608621,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2J9USSV2OF2NP'}
1625181849.613417,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2J9USSV2OF2NP'}
1625181849.629335,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2J9USSV2OF2NP'}
1625181850.226117,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2J9USSV2OF2NP'}
1625181850.528564,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2J9USSV2OF2NP'}
1625181850.732431,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2J9USSV2OF2NP'}
1625181850.938738,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2J9USSV2OF2NP'}
1625181851.081268,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2J9USSV2OF2NP'}
1625181851.654246,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2J9USSV2OF2NP'}
1625181851.717093,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2J9USSV2OF2NP'}
1625181852.066783,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2J9USSV2OF2NP'}
1625181852.187764,A2J9USSV2OF2NP,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2J9USSV2OF2NP'}
