
1624831980.488474,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A32QWM7BWCSPTS'}
1624831980.915821,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A32QWM7BWCSPTS'}
1624831981.551323,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624831982.336295,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624831982.94995,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624831983.060004,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A32QWM7BWCSPTS'}
1624831983.868213,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A32QWM7BWCSPTS'}
1624831984.482431,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624831985.403535,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624831985.404497,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A32QWM7BWCSPTS'}
1624832015.511661,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A32QWM7BWCSPTS'}
1624832018.27617,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A32QWM7BWCSPTS'}
1624832019.504134,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A32QWM7BWCSPTS'}
1624832020.425919,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624832020.566037,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A32QWM7BWCSPTS'}
1624832021.619635,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624832021.964927,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624832022.609587,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A32QWM7BWCSPTS'}
1624832023.496857,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A32QWM7BWCSPTS'}
1624832024.112464,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A32QWM7BWCSPTS'}
1624832024.41962,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A32QWM7BWCSPTS'}
1624832024.725451,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A32QWM7BWCSPTS'}
1624832025.654966,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A32QWM7BWCSPTS'}
1624832025.662593,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A32QWM7BWCSPTS'}
1624832026.262097,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A32QWM7BWCSPTS'}
1624832026.875722,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A32QWM7BWCSPTS'}
1624832027.491825,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A32QWM7BWCSPTS'}
1624832027.817425,A32QWM7BWCSPTS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A32QWM7BWCSPTS'}
