
1617487488.506565,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AUB6V4HVL1O45'}
1617487489.671622,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AUB6V4HVL1O45'}
1617487490.190358,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AUB6V4HVL1O45'}
1617487491.129665,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AUB6V4HVL1O45'}
1617487492.069501,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AUB6V4HVL1O45'}
1617487493.014068,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AUB6V4HVL1O45'}
1617487494.262729,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487498.859694,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487498.861853,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487529.044584,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487531.657141,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487531.970784,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AUB6V4HVL1O45'}
1617487533.329402,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487534.058293,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AUB6V4HVL1O45'}
1617487535.393909,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487536.984918,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487537.29845,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AUB6V4HVL1O45'}
1617487538.446268,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487539.28309,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AUB6V4HVL1O45'}
1617487540.43035,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487541.162051,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AUB6V4HVL1O45'}
1617487542.414988,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AUB6V4HVL1O45'}
1617487544.086339,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AUB6V4HVL1O45'}
1617487544.608372,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AUB6V4HVL1O45'}
1617487545.131528,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AUB6V4HVL1O45'}
1617487546.166814,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AUB6V4HVL1O45'}
1617487546.596135,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AUB6V4HVL1O45'}
1617487547.638897,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487548.160069,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487549.309754,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AUB6V4HVL1O45'}
1617487549.831371,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AUB6V4HVL1O45'}
1617487550.982098,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AUB6V4HVL1O45'}
1617487551.400856,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AUB6V4HVL1O45'}
1617487552.024579,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AUB6V4HVL1O45'}
1617487553.074392,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487553.076333,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487583.255517,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487585.641923,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
1617487586.286293,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AUB6V4HVL1O45'}
