
1624912954.747575,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KGELV8JP76TJ'}
1624912954.79923,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KGELV8JP76TJ'}
1624912955.486207,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KGELV8JP76TJ'}
1624912956.108884,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KGELV8JP76TJ'}
1624912956.193262,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KGELV8JP76TJ'}
1624912957.025429,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KGELV8JP76TJ'}
1624912957.639246,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912957.793323,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912958.561665,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2KGELV8JP76TJ'}
1624912959.418929,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KGELV8JP76TJ'}
1624912959.682239,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KGELV8JP76TJ'}
1624912959.932986,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KGELV8JP76TJ'}
1624912961.63651,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912961.637441,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912961.818021,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624912963.169165,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KGELV8JP76TJ'}
1624912963.170144,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KGELV8JP76TJ'}
1624912963.214286,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KGELV8JP76TJ'}
1624912965.628146,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KGELV8JP76TJ'}
1624912967.466687,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KGELV8JP76TJ'}
1624912967.467611,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KGELV8JP76TJ'}
1624912969.007346,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912969.05238,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912970.54561,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912971.773632,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912971.774342,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912971.988222,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912973.306557,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912973.308299,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912974.227528,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KGELV8JP76TJ'}
1624912975.456273,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
1624912979.778045,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912979.779572,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624912982.313851,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624912982.315203,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624913110.926469,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624913110.927187,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624913112.466129,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624913112.466799,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624913117.07414,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624913117.075113,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624913119.225111,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KGELV8JP76TJ'}
1624913119.281917,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KGELV8JP76TJ'}
1624913121.070473,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KGELV8JP76TJ'}
1624913121.071086,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2KGELV8JP76TJ'}
1624913122.189845,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913122.393582,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913124.138974,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913125.060004,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913141.235588,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913141.455226,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913144.107717,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913144.722125,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913145.643596,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KGELV8JP76TJ'}
1624913147.993458,A2KGELV8JP76TJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KGELV8JP76TJ'}
