
1617480830.191023,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480831.154965,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480831.822904,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34MXCHJVM6ENI'}
1617480832.973683,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480833.183073,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34MXCHJVM6ENI'}
1617480834.01891,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34MXCHJVM6ENI'}
1617480834.334295,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480835.420931,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480836.883533,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
1617480837.686837,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34MXCHJVM6ENI'}
1617480838.300445,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480839.27822,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480839.778448,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480853.759278,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480857.115446,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480857.202921,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480887.287743,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480893.117013,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480893.379993,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
1617480894.494534,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480894.703499,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A34MXCHJVM6ENI'}
1617480896.271033,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480896.619047,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34MXCHJVM6ENI'}
1617480899.092846,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480899.300735,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480900.029433,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34MXCHJVM6ENI'}
1617480901.17978,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480901.705757,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480902.747342,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A34MXCHJVM6ENI'}
1617480904.308784,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480904.596562,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480905.750784,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A34MXCHJVM6ENI'}
1617480906.55071,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A34MXCHJVM6ENI'}
1617480907.659298,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A34MXCHJVM6ENI'}
1617480908.700642,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A34MXCHJVM6ENI'}
1617480909.042184,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A34MXCHJVM6ENI'}
1617480909.849091,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A34MXCHJVM6ENI'}
1617480910.999272,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A34MXCHJVM6ENI'}
1617480911.834108,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34MXCHJVM6ENI'}
1617480912.149564,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34MXCHJVM6ENI'}
1617480914.445403,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34MXCHJVM6ENI'}
1617480914.447719,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480915.490224,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34MXCHJVM6ENI'}
1617480917.894182,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480917.892761,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34MXCHJVM6ENI'}
1617480948.182252,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34MXCHJVM6ENI'}
1617480951.444524,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480952.200225,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480952.996108,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480953.652662,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480954.556617,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480955.253015,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34MXCHJVM6ENI'}
1617480956.199442,A34MXCHJVM6ENI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A34MXCHJVM6ENI'}
