
1624835713.283093,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N66DKF3VNB9X'}
1624835713.893785,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N66DKF3VNB9X'}
1624835714.299085,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3N66DKF3VNB9X'}
1624835715.122292,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N66DKF3VNB9X'}
1624835715.741619,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3N66DKF3VNB9X'}
1624835716.04509,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3N66DKF3VNB9X'}
1624835716.65941,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N66DKF3VNB9X'}
1624835717.276053,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3N66DKF3VNB9X'}
1624835718.812904,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835719.42494,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835719.632886,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3N66DKF3VNB9X'}
1624835722.802232,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3N66DKF3VNB9X'}
1624835724.3645,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3N66DKF3VNB9X'}
1624835727.720451,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3N66DKF3VNB9X'}
1624835728.94768,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3N66DKF3VNB9X'}
1624835729.56134,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3N66DKF3VNB9X'}
1624835731.715362,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3N66DKF3VNB9X'}
1624835731.716051,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3N66DKF3VNB9X'}
1624835761.518548,A3N66DKF3VNB9X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3N66DKF3VNB9X'}
