
1624904464.538926,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AD1FDB9A61LMS'}
1624904465.130988,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AD1FDB9A61LMS'}
1624904466.052997,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AD1FDB9A61LMS'}
1624904467.480676,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AD1FDB9A61LMS'}
1624904468.19767,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AD1FDB9A61LMS'}
1624904469.123423,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AD1FDB9A61LMS'}
1624904471.270675,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AD1FDB9A61LMS'}
1624904471.369268,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AD1FDB9A61LMS'}
1624904472.497388,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AD1FDB9A61LMS'}
1624904472.820537,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AD1FDB9A61LMS'}
1624904473.267828,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AD1FDB9A61LMS'}
1624904474.046141,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AD1FDB9A61LMS'}
1624904474.650528,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AD1FDB9A61LMS'}
1624904474.858836,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AD1FDB9A61LMS'}
1624904475.263337,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AD1FDB9A61LMS'}
1624904475.883079,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AD1FDB9A61LMS'}
1624904477.108125,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AD1FDB9A61LMS'}
1624904477.109462,AD1FDB9A61LMS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AD1FDB9A61LMS'}
