
1625192648.821771,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192648.993318,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192649.473927,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192650.357265,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192650.971766,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192650.977185,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192681.09211,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192683.226959,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192683.227688,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192683.535207,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192683.612908,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192684.462531,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192684.463835,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192684.650883,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192684.809781,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192685.37724,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192685.478432,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192685.995948,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192686.000664,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192686.606965,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192686.607659,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192687.080279,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192687.137557,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192688.143886,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192689.065445,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192689.371397,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1QCUR2Z75LS5N'}
1625192689.624904,A1QCUR2Z75LS5N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1QCUR2Z75LS5N'}
