
1625187111.287991,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187111.288702,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187111.29614,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187111.687544,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187112.522412,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187112.615517,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187112.727916,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187113.750767,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187113.869016,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187114.038894,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187115.287724,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187115.424422,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187115.593915,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187116.210343,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187120.511446,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187122.0484,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187122.049396,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187122.154955,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187122.967946,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187123.578716,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187123.780492,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187125.112538,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
1625187126.036829,A1K0FWYPIYNTEI,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1K0FWYPIYNTEI'}
