
1616770962.513874,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AC5UD8N187QD6'}
1616770963.140854,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AC5UD8N187QD6'}
1616770964.531783,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AC5UD8N187QD6'}
1616770964.5325,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770994.580824,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AC5UD8N187QD6'}
1616770996.289302,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AC5UD8N187QD6'}
1616770997.819342,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770998.663405,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AC5UD8N187QD6'}
1616770999.811364,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AC5UD8N187QD6'}
1616770999.974904,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AC5UD8N187QD6'}
1616771001.06722,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616771001.399244,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AC5UD8N187QD6'}
1616771002.195296,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616771002.831917,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AC5UD8N187QD6'}
1616771004.611745,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AC5UD8N187QD6'}
1616771004.920778,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AC5UD8N187QD6'}
1616771006.801059,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
1616771007.11405,AC5UD8N187QD6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AC5UD8N187QD6'}
