
1617314144.004927,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314144.423456,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314145.052378,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314145.467272,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314145.8855,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314146.198816,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314146.615914,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314147.035793,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314148.078591,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314148.079661,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314178.055378,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314180.249978,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314180.981424,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314181.727018,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314182.860309,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314183.173904,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314183.813453,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314184.113375,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314184.635317,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314184.845209,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314185.291956,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314185.575784,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314186.097974,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314186.307425,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314188.395743,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314188.875014,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314189.754563,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314190.276802,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314193.304827,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314193.725058,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314198.916946,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314199.781245,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314201.765595,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314204.376677,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314206.466311,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314208.138055,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314208.449957,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314213.568754,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314213.569214,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314243.649838,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314244.486714,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314244.903025,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314245.634732,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314246.88895,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314247.932111,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314248.560714,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314248.685183,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314249.185485,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314249.318847,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314249.816014,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314249.923445,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314250.44027,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314250.753113,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314251.066088,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314251.275002,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314251.693532,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314251.835564,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314252.42362,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314252.841624,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314253.364042,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314253.990755,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314255.348542,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314255.765965,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314256.288277,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314256.602221,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2EJ7U3TZAKROG'}
1617314257.021307,A2EJ7U3TZAKROG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2EJ7U3TZAKROG'}
