
1616801564.658842,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801564.765849,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801565.377064,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801565.587329,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801565.794339,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801566.73523,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801566.778143,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801567.25688,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801567.779884,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801568.092538,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801568.405901,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801569.033026,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801569.241416,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801569.766754,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801570.599753,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801571.121109,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801571.376919,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801572.270006,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801572.394133,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801573.314707,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801574.046053,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801574.358928,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801574.882243,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801576.031338,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801576.033694,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801606.117871,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801609.141857,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801610.082911,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801610.590026,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801611.438698,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801611.557635,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801611.961267,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801612.133665,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801612.379652,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801613.110354,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801613.319606,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801613.843805,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801614.050296,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801615.199181,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801615.322935,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801615.394193,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801616.036197,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801616.251125,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801616.755464,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801617.080776,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801618.020351,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801618.230304,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801618.855046,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801620.208465,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801620.421911,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801621.048743,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801621.362164,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801621.988841,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801622.515503,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801623.034802,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801623.662774,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801623.973375,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801624.495258,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801625.017611,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801626.062646,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801626.229911,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801628.04686,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TRFQJKZU9NB3'}
1616801628.047542,A2TRFQJKZU9NB3,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TRFQJKZU9NB3'}
