
1630354730.754297,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '7054'}
1630354731.657951,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '7054'}
1630354732.201641,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '7054'}
1630354732.471417,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '7054'}
1630354732.863725,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '7054'}
1630354733.356075,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '7054'}
1630354733.873632,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '7054'}
1630354734.831375,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '7054'}
1630354765.10378,7054,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '7054'}
1630354766.34344,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7054'}
1630354767.542309,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7054'}
1630354768.446161,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '7054'}
1630354769.177215,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7054'}
1630354769.314031,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7054'}
1630354769.910471,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '7054'}
1630354770.436254,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7054'}
1630354770.624085,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '7054'}
1630354771.475281,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7054'}
1630354771.701171,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '7054'}
1630354772.348906,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7054'}
1630354772.728445,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '7054'}
1630354773.250633,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7054'}
1630354773.385095,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '7054'}
1630354774.149598,7054,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '7054'}
