
1617310970.091177,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310970.814783,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310971.129291,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310971.754439,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310972.486512,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310973.008038,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310973.948571,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617310973.94997,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311003.882738,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311006.223338,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311006.536482,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311007.164124,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311007.24045,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311007.998707,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311008.114256,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311008.835079,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311008.835921,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311009.2457,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311009.983147,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311010.403067,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311010.521209,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311010.961398,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311011.138829,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311011.863259,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311012.072986,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311012.597631,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311013.535061,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311014.035489,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311015.9365,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311016.877432,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311017.607816,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311018.026886,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311018.548906,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2KHMKJUVDMK1N'}
1617311018.866066,A2KHMKJUVDMK1N,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2KHMKJUVDMK1N'}
