
1630333001.316839,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630333003.498153,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630333004.35273,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '6600'}
1630333004.694888,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '6600'}
1630333005.235934,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333005.937072,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630333006.571856,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
1630333007.690861,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '6600'}
1630333037.873707,6600,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '6600'}
1630333039.710719,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333040.067717,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333040.799396,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '6600'}
1630333041.435115,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630333042.18826,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '6600'}
1630333042.745644,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630333042.889397,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '6600'}
1630333043.40252,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630333043.544355,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '6600'}
1630333044.354342,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630333044.417933,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '6600'}
1630333045.147033,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630333045.253474,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '6600'}
1630333046.036144,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630333046.075532,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '6600'}
1630333046.944336,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630333047.094931,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '6600'}
1630333048.005729,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333048.634234,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333049.049829,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '6600'}
1630333049.993082,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '6600'}
1630333050.719676,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '6600'}
1630333051.351223,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '6600'}
1630333051.871299,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '6600'}
1630333052.734548,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '6600'}
1630333053.229389,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '6600'}
1630333053.951615,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '6600'}
1630333054.803346,6600,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '6600'}
