
1623627956.988478,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623627957.971488,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627958.488062,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A353XKDTUX10NC'}
1623627959.097372,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627959.507001,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A353XKDTUX10NC'}
1623627959.814487,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A353XKDTUX10NC'}
1623627960.126331,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A353XKDTUX10NC'}
1623627960.352289,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A353XKDTUX10NC'}
1623627960.736304,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627961.14554,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A353XKDTUX10NC'}
1623627961.862687,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A353XKDTUX10NC'}
1623627961.863553,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627991.866218,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A353XKDTUX10NC'}
1623627993.198911,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A353XKDTUX10NC'}
1623627994.017045,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627994.938433,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627995.245529,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A353XKDTUX10NC'}
1623627995.860189,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627995.996655,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A353XKDTUX10NC'}
1623627996.450924,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627996.607395,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627997.396141,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623627998.118264,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627998.420289,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A353XKDTUX10NC'}
1623627999.379832,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628000.570461,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628000.748593,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628001.082671,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628001.264292,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628002.004577,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A353XKDTUX10NC'}
1623628002.396706,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
1623628002.618366,A353XKDTUX10NC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A353XKDTUX10NC'}
