
1616534205.364139,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534209.335253,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534209.749805,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534210.376318,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A7O82NXM2PI12'}
1616534211.422926,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A7O82NXM2PI12'}
1616534214.14195,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534214.563386,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534214.972156,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A7O82NXM2PI12'}
1616534216.647968,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A7O82NXM2PI12'}
1616534217.682886,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A7O82NXM2PI12'}
1616534218.836754,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A7O82NXM2PI12'}
1616534218.837332,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534248.919837,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A7O82NXM2PI12'}
1616534250.80441,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534251.269671,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A7O82NXM2PI12'}
1616534252.067274,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534252.469287,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A7O82NXM2PI12'}
1616534253.725145,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534254.253098,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534255.394788,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A7O82NXM2PI12'}
1616534255.918332,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534256.334209,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A7O82NXM2PI12'}
1616534257.796352,A7O82NXM2PI12,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A7O82NXM2PI12'}
