
1616723970.756613,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10WRBLV9NMNH9'}
1616723972.199953,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723972.20108,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10WRBLV9NMNH9'}
1616723973.453883,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10WRBLV9NMNH9'}
1616723974.18602,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10WRBLV9NMNH9'}
1616723975.0225,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10WRBLV9NMNH9'}
1616723977.108565,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10WRBLV9NMNH9'}
1616723982.003147,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10WRBLV9NMNH9'}
1616723982.003901,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616724011.891727,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10WRBLV9NMNH9'}
1616724017.635523,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616724017.854181,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10WRBLV9NMNH9'}
1616724018.993113,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616724019.079365,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10WRBLV9NMNH9'}
1616724020.141591,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
1616724020.259413,A10WRBLV9NMNH9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10WRBLV9NMNH9'}
