
1629310535.168464,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310535.619633,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8943'}
1629310535.984143,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8943'}
1629310536.702483,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310537.31661,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8943'}
1629310537.626007,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8943'}
1629310538.385842,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310538.439455,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310538.937868,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8943'}
1629310540.0835,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8943'}
1629310569.997086,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8943'}
1629310571.835897,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310572.079808,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310573.033707,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310573.034574,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310573.714313,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310574.835794,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310574.836774,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310575.004102,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310576.686605,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '8943'}
1629310579.04305,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '8943'}
1629310579.689996,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '8943'}
1629310580.328466,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '8943'}
1629310580.909085,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '8943'}
1629310581.473348,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8943'}
1629310581.661044,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310582.16412,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310582.734932,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8943'}
1629310583.417302,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310583.942845,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8943'}
1629310584.336948,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8943'}
1629310584.994054,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310585.567976,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '8943'}
1629310586.368301,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '8943'}
1629310616.719235,8943,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '8943'}
1629310619.582769,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310619.997941,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '8943'}
1629310620.690825,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310621.032016,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '8943'}
1629310622.042144,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310622.0787,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '8943'}
1629310623.19829,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310623.507007,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '8943'}
1629310625.812372,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310626.193273,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310626.98071,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '8943'}
1629310627.568505,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '8943'}
1629310628.194455,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '8943'}
1629310628.236988,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '8943'}
1629310628.807133,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '8943'}
1629310629.402375,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '8943'}
1629310630.00648,8943,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '8943'}
