
1621292477.910498,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292478.106216,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292478.283214,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292478.557748,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292478.692914,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292478.875247,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292479.17315,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292479.331071,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292479.538679,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292479.786263,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292479.983261,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292480.609169,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292480.610417,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292480.73875,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292481.020859,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292481.530255,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292481.545516,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292481.751474,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.038911,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.244369,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.41189,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.59165,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.788018,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292482.99662,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292483.21814,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292483.685427,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292484.5713,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292485.316157,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292486.139582,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292486.44709,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292487.061845,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292487.67673,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292488.291204,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292488.546629,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292488.903993,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292489.053931,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292489.309918,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292489.481896,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292489.825352,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292490.025479,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292490.231363,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
1621292490.402553,A34BU741DRZZDM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34BU741DRZZDM'}
