
1617301544.010131,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301544.218559,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A26UIS59SY4NM6'}
1617301545.054262,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301545.367457,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A26UIS59SY4NM6'}
1617301546.204258,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A26UIS59SY4NM6'}
1617301546.725395,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A26UIS59SY4NM6'}
1617301548.291971,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301549.130646,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A26UIS59SY4NM6'}
1617301550.172532,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301550.373976,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A26UIS59SY4NM6'}
1617301557.380471,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A26UIS59SY4NM6'}
1617301557.381211,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A26UIS59SY4NM6'}
1617301557.479673,A26UIS59SY4NM6,{'stage': 'SAGAT', 'action': 'complete', 'score': 9, 'worker-id': 'A26UIS59SY4NM6'}
1617301562.830551,A26UIS59SY4NM6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A26UIS59SY4NM6'}
1617301569.731736,A26UIS59SY4NM6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A26UIS59SY4NM6'}
1617301681.676209,A26UIS59SY4NM6,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A26UIS59SY4NM6'}
1617301688.463596,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301690.762336,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6714285714285714,0.8471428571428572]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301696.507025,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301700.893701,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.62,0.6814285714285714]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301712.278947,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301713.740761,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301714.262545,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301716.769745,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7071428571428572,0.6314285714285715]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301721.889465,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7042857142857143,0.6385714285714286]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301722.723135,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7057142857142857,0.6357142857142857]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301724.081612,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7,0.6342857142857142]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301725.127039,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7057142857142857,0.6371428571428571]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301726.17016,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301741.014932,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5914285714285714,0.9657142857142857]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301742.361231,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5842857142857143,0.9657142857142857]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301742.884101,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5842857142857143,0.9671428571428572]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301749.047553,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301750.091316,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6257142857142857,0.8671428571428571]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301750.961562,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6242857142857143,0.8685714285714285]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301751.440559,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6242857142857143,0.8685714285714285]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301751.864815,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6242857142857143,0.8942857142857142]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301752.38726,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5928571428571429,0.9242857142857143]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301752.910141,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5771428571428572,0.9757142857142858]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301754.059096,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6985714285714286,0.6871428571428572]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301754.41163,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301755.063442,A26UIS59SY4NM6,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
1617301756.569256,A26UIS59SY4NM6,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5957142857142858,0.79]', 'worker-id': 'A26UIS59SY4NM6', 'stage': 0}
