
1621110349.862746,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110350.183395,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110351.012096,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110351.755919,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110351.96793,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110353.15571,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110353.336778,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110354.177502,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110354.181757,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110354.697323,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110354.896263,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110355.921479,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110355.922411,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110356.023155,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110357.149229,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110357.277096,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110358.068395,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110358.999792,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110360.841406,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110360.841911,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110390.634221,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110393.103993,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110393.104821,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110394.627224,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110394.6754,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110395.549391,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110395.637303,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110396.779096,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110396.778469,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110397.392685,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110397.418129,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110397.63631,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110398.619932,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110399.235701,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110399.849054,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110400.022025,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110401.078668,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110401.691589,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110402.562102,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110403.227416,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110403.847466,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110404.764182,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110405.072113,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110405.784904,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110405.902023,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3G9DL3KBPUHSG'}
1621110407.531294,A3G9DL3KBPUHSG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3G9DL3KBPUHSG'}
