
1617148903.186666,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A147OXF9QMT2Z8'}
1617148903.772797,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A147OXF9QMT2Z8'}
1617148904.488595,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617148905.128834,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A147OXF9QMT2Z8'}
1617148905.59305,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617148906.472483,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A147OXF9QMT2Z8'}
1617148907.240866,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148907.619125,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617148937.554476,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148939.62917,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148940.020952,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
1617148941.313254,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148941.673048,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A147OXF9QMT2Z8'}
1617148942.437008,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148942.713719,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A147OXF9QMT2Z8'}
1617148943.633977,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617148943.805169,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A147OXF9QMT2Z8'}
1617148944.586775,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617148945.011075,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617148945.638472,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A147OXF9QMT2Z8'}
1617148946.61779,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A147OXF9QMT2Z8'}
1617148948.152583,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A147OXF9QMT2Z8'}
1617148948.832702,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A147OXF9QMT2Z8'}
1617148949.69927,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A147OXF9QMT2Z8'}
1617148950.433069,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A147OXF9QMT2Z8'}
1617148951.304616,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A147OXF9QMT2Z8'}
1617148952.029,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A147OXF9QMT2Z8'}
1617148952.61429,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A147OXF9QMT2Z8'}
1617148953.152799,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617148953.624692,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A147OXF9QMT2Z8'}
1617148954.492755,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A147OXF9QMT2Z8'}
1617148955.206417,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A147OXF9QMT2Z8'}
1617148956.033125,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617148958.012538,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148958.276208,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A147OXF9QMT2Z8'}
1617148988.262752,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A147OXF9QMT2Z8'}
1617148991.332937,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617148991.914746,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617148992.382595,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A147OXF9QMT2Z8'}
1617148993.225089,A147OXF9QMT2Z8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A147OXF9QMT2Z8'}
