
1619834848.164268,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2NC23YMQPXSYV'}
1619834848.165126,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2NC23YMQPXSYV'}
1619834850.357457,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834850.42685,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834850.983871,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834851.921174,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2NC23YMQPXSYV'}
1619834855.058072,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2NC23YMQPXSYV'}
1619834856.630933,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834857.251112,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834859.444853,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834859.757381,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834860.384452,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834862.892027,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834862.893996,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834865.710946,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834865.852824,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2NC23YMQPXSYV'}
1619834866.688569,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2NC23YMQPXSYV'}
1619834867.904702,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2NC23YMQPXSYV'}
1619834868.844559,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834869.993942,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834870.934293,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
1619834871.874047,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834873.649822,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834873.653076,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2NC23YMQPXSYV'}
1619834892.974145,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834907.386938,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834908.641345,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834908.642179,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2NC23YMQPXSYV'}
1619834939.244391,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2NC23YMQPXSYV'}
1619834968.386144,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2NC23YMQPXSYV'}
1619834973.608071,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834973.92111,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834974.236433,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834974.868847,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834974.879304,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834974.991093,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2NC23YMQPXSYV'}
1619834979.146202,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2NC23YMQPXSYV'}
1619834980.7112,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2NC23YMQPXSYV'}
1619834989.381555,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2NC23YMQPXSYV'}
1619834993.035325,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834993.349245,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834993.419458,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834994.603455,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834994.605875,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834995.542791,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2NC23YMQPXSYV'}
1619834998.781914,A2NC23YMQPXSYV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2NC23YMQPXSYV'}
