
1614305188.763741,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305189.182409,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305189.529452,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305189.91144,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305190.121111,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305190.749027,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305192.001714,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305192.002711,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305222.083141,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305223.542575,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305223.963443,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305224.901243,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305225.321116,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305225.478477,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305225.733888,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305226.430094,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305226.765988,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305227.614538,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305227.756849,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305228.560008,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305228.739272,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305229.147083,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305229.334922,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305232.139369,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305232.946643,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305233.986284,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2ONILC0LZKG6Y'}
1614305235.638088,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2ONILC0LZKG6Y'}
