
1614294636.368677,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294636.664427,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294636.893742,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294637.310929,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294637.621903,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294637.652415,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294637.836117,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294638.874772,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294639.083,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294639.603859,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294640.139058,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294640.26684,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294640.434294,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294641.315476,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294641.801696,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AXAO7UJYYEFCO'}
1614294642.218215,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXAO7UJYYEFCO'}
1614294642.53221,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXAO7UJYYEFCO'}
1614294643.053132,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294643.996665,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294644.619931,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294645.141588,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXAO7UJYYEFCO'}
1614294645.768968,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294646.361051,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXAO7UJYYEFCO'}
1614294647.023221,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294647.439656,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
