
1619542103.889909,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542103.925179,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542104.410716,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542104.529329,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542105.039007,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A13FUEPWBCLBUY'}
1619542105.971112,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A13FUEPWBCLBUY'}
1619542106.394804,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A13FUEPWBCLBUY'}
1619542107.229883,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A13FUEPWBCLBUY'}
1619542108.065854,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542108.274857,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542108.796548,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542109.007224,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542109.214856,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542109.632618,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A13FUEPWBCLBUY'}
1619542110.155217,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542110.363791,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542110.781345,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A13FUEPWBCLBUY'}
1619542111.512399,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A13FUEPWBCLBUY'}
