
1619900791.612295,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900792.131376,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900792.768468,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900792.948511,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900793.087816,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900794.11072,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900794.476228,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900795.479972,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900796.448475,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900797.455211,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900801.421951,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900803.406198,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900804.452998,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900804.868706,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900805.285862,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900805.604837,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900806.121291,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900806.644639,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900807.062014,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900807.487521,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900808.464465,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900809.276488,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900809.464057,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900809.884098,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900810.612763,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900811.089092,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900813.227786,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900813.693226,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900814.500103,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900815.224474,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900815.440403,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
