
1614094990.66506,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614094991.190847,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614094991.289267,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614094991.605521,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614094992.440901,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JESFPIKKY1BE'}
1614094993.279566,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3JESFPIKKY1BE'}
1614094993.904232,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3JESFPIKKY1BE'}
1614094994.136486,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JESFPIKKY1BE'}
1614094994.632304,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JESFPIKKY1BE'}
1614094995.366446,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094995.887748,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3JESFPIKKY1BE'}
1614094996.202113,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3JESFPIKKY1BE'}
1614094996.725852,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JESFPIKKY1BE'}
1614094997.334442,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JESFPIKKY1BE'}
1614094997.397626,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JESFPIKKY1BE'}
1614094998.289069,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JESFPIKKY1BE'}
1614094998.707637,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JESFPIKKY1BE'}
1614094999.337443,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3JESFPIKKY1BE'}
1614094999.856876,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3JESFPIKKY1BE'}
1614095000.212953,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3JESFPIKKY1BE'}
1614095000.692104,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JESFPIKKY1BE'}
1614095000.901382,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JESFPIKKY1BE'}
1614095001.314509,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JESFPIKKY1BE'}
1614095001.946065,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614095003.315168,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614095003.317133,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JESFPIKKY1BE'}
1614095033.191772,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614095035.893494,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JESFPIKKY1BE'}
1614095036.832297,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JESFPIKKY1BE'}
1614095037.354577,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JESFPIKKY1BE'}
1614095037.470379,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3JESFPIKKY1BE'}
1614095038.294568,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JESFPIKKY1BE'}
1614095038.714613,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JESFPIKKY1BE'}
1614095039.235279,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JESFPIKKY1BE'}
1614095039.861168,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614095040.487782,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
1614095040.49095,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JESFPIKKY1BE'}
