
1619635418.092649,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635418.822645,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKMIORNF40ST7'}
1619635424.891152,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKMIORNF40ST7'}
1619635424.892264,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKMIORNF40ST7'}
1619635425.160206,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKMIORNF40ST7'}
1619635428.327667,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKMIORNF40ST7'}
1619635432.918457,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635433.231906,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635433.963237,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635434.276558,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635434.589805,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635435.638496,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635436.16139,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635436.995334,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635437.410711,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKMIORNF40ST7'}
1619635437.827525,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKMIORNF40ST7'}
1619635444.30647,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKMIORNF40ST7'}
1619635444.704987,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKMIORNF40ST7'}
1619635445.244013,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKMIORNF40ST7'}
1619635445.974391,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKMIORNF40ST7'}
1619635453.599282,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKMIORNF40ST7'}
1619635456.210766,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKMIORNF40ST7'}
1619635456.24415,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKMIORNF40ST7'}
1619635457.255584,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKMIORNF40ST7'}
1619635457.672958,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKMIORNF40ST7'}
1619635458.110899,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKMIORNF40ST7'}
1619635471.251639,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AKMIORNF40ST7'}
1619635471.982222,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635472.191817,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635472.281209,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635472.818653,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635473.236667,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635474.386844,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635474.387759,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635475.429142,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635476.160947,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.186963,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.187827,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.189203,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.212453,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.303555,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.518702,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.615086,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635477.937244,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635478.250104,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635478.36274,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635478.562842,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
