
1619912982.782821,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1JADORW8YJNOT'}
1619912982.786437,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1JADORW8YJNOT'}
1619912983.504397,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1JADORW8YJNOT'}
1619912983.822935,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1JADORW8YJNOT'}
1619912984.451862,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1JADORW8YJNOT'}
1619912984.870966,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1JADORW8YJNOT'}
1619912985.496531,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912985.621679,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912986.649693,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1JADORW8YJNOT'}
1619912986.75173,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1JADORW8YJNOT'}
