
1614261782.355405,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261782.481433,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261783.089069,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261783.818105,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261784.371352,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261788.106611,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1OHY9EPNQE37J'}
1614261788.417813,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1OHY9EPNQE37J'}
1614261789.143638,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261789.352256,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261789.771621,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261790.502297,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1OHY9EPNQE37J'}
1614261790.61941,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1OHY9EPNQE37J'}
1614261791.051841,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1OHY9EPNQE37J'}
1614261791.651943,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261792.174027,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261792.269801,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261793.822202,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261793.82564,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261797.709533,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261797.737465,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261798.545709,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261798.555696,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261799.591005,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261799.594838,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261801.990227,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1OHY9EPNQE37J'}
1614261803.142169,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261803.143996,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261804.707809,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261804.710047,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261846.487538,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261846.79973,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261847.634846,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261847.636206,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261849.62055,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261849.623089,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261855.989488,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261856.410264,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261856.473473,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261856.591159,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261857.351697,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1OHY9EPNQE37J'}
1614261858.080962,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261858.496649,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261859.02533,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261859.088544,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261859.652201,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1OHY9EPNQE37J'}
1614261860.279097,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261861.011176,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261861.531074,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261862.369484,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261862.466341,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261862.902715,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1OHY9EPNQE37J'}
1614261862.900117,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1OHY9EPNQE37J'}
1614261862.997083,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1OHY9EPNQE37J'}
1614261864.039068,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1OHY9EPNQE37J'}
1614261864.353452,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1OHY9EPNQE37J'}
1614261865.287641,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261865.387225,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261865.91899,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261866.757805,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261866.877918,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261867.395811,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261868.425671,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261868.505946,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261869.15803,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261869.185858,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261869.89025,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261870.293569,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261870.830053,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261871.350956,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261871.658505,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1OHY9EPNQE37J'}
1614261872.604981,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1OHY9EPNQE37J'}
1614261872.813047,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1OHY9EPNQE37J'}
1614261873.34183,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1OHY9EPNQE37J'}
1614261873.649055,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1OHY9EPNQE37J'}
1614261874.165884,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1OHY9EPNQE37J'}
1614261875.004684,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261875.140887,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
1614261876.260161,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1OHY9EPNQE37J'}
1614261876.469422,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1OHY9EPNQE37J'}
1614261877.928701,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261877.929385,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261883.167717,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261883.180323,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1OHY9EPNQE37J'}
1614261887.435839,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1OHY9EPNQE37J'}
1614261888.899678,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1OHY9EPNQE37J'}
