
1619816082.825765,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10JXOU89D5RXR'}
1619816083.871887,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619816084.497226,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10JXOU89D5RXR'}
1619816085.332376,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10JXOU89D5RXR'}
1619816086.794142,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10JXOU89D5RXR'}
1619816088.152129,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619816088.885957,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619816090.764039,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10JXOU89D5RXR'}
1619816090.765297,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10JXOU89D5RXR'}
1619816120.844858,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10JXOU89D5RXR'}
1619816123.561264,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10JXOU89D5RXR'}
1619816124.086309,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A10JXOU89D5RXR'}
1619816125.127545,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10JXOU89D5RXR'}
1619816125.441328,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A10JXOU89D5RXR'}
1619816127.114238,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10JXOU89D5RXR'}
1619816127.322708,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10JXOU89D5RXR'}
1619816131.081077,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10JXOU89D5RXR'}
1619816131.39525,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10JXOU89D5RXR'}
1619816132.543524,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10JXOU89D5RXR'}
1619816132.856824,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10JXOU89D5RXR'}
1619816133.904831,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A10JXOU89D5RXR'}
1619816134.741039,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A10JXOU89D5RXR'}
1619816135.570333,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10JXOU89D5RXR'}
1619816136.303596,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A10JXOU89D5RXR'}
1619816137.034816,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A10JXOU89D5RXR'}
1619816138.287968,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A10JXOU89D5RXR'}
1619816139.019611,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619816139.54415,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619816139.713354,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619816141.317934,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A10JXOU89D5RXR'}
1619816142.152882,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10JXOU89D5RXR'}
1619816142.988804,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A10JXOU89D5RXR'}
1619816144.243844,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A10JXOU89D5RXR'}
1619816145.28608,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619816146.74625,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10JXOU89D5RXR'}
1619816146.746945,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A10JXOU89D5RXR'}
