
1614301033.711429,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG6WV3WODQ7IN'}
1614301034.129269,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG6WV3WODQ7IN'}
1614301034.20134,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG6WV3WODQ7IN'}
1614301035.071021,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG6WV3WODQ7IN'}
1614301035.117986,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AG6WV3WODQ7IN'}
1614301036.533822,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG6WV3WODQ7IN'}
1614301036.622907,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG6WV3WODQ7IN'}
1614301036.974243,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AG6WV3WODQ7IN'}
1614301037.889573,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG6WV3WODQ7IN'}
1614301038.000547,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG6WV3WODQ7IN'}
1614301038.30761,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG6WV3WODQ7IN'}
1614301039.142964,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG6WV3WODQ7IN'}
1614301039.26743,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG6WV3WODQ7IN'}
1614301039.667112,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG6WV3WODQ7IN'}
1614301040.048262,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301040.221785,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301040.396839,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301040.814255,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301041.127675,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301041.963122,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG6WV3WODQ7IN'}
1614301042.591083,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AG6WV3WODQ7IN'}
1614301042.702237,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AG6WV3WODQ7IN'}
1614301043.111905,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AG6WV3WODQ7IN'}
1614301044.058356,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AG6WV3WODQ7IN'}
1614301044.365629,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AG6WV3WODQ7IN'}
1614301044.680367,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AG6WV3WODQ7IN'}
1614301045.305675,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG6WV3WODQ7IN'}
1614301045.41604,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG6WV3WODQ7IN'}
1614301045.632237,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG6WV3WODQ7IN'}
1614301046.559598,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AG6WV3WODQ7IN'}
1614301046.561558,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AG6WV3WODQ7IN'}
1614301049.27501,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AG6WV3WODQ7IN'}
1614301049.277386,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AG6WV3WODQ7IN'}
1614301053.40438,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG6WV3WODQ7IN'}
1614301053.661597,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG6WV3WODQ7IN'}
1614301054.498295,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AG6WV3WODQ7IN'}
1614301063.061631,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG6WV3WODQ7IN'}
1614301077.684923,AG6WV3WODQ7IN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG6WV3WODQ7IN'}
