
1614273957.375091,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273957.859626,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273963.071374,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273964.926734,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273965.858671,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273967.155506,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273975.363213,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273975.510925,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273975.678559,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273976.083038,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273976.635187,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273977.69569,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273977.855777,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3EUGE6TLXDMRR'}
1614273979.018377,A3EUGE6TLXDMRR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3EUGE6TLXDMRR'}
