
1614271984.061491,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614271984.689272,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614271990.01606,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614271990.641581,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKNU5D6QK7M72'}
1614271991.269126,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614271991.896064,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKNU5D6QK7M72'}
1614271992.626154,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614271993.252878,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKNU5D6QK7M72'}
1614271993.774906,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKNU5D6QK7M72'}
1614271994.300808,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKNU5D6QK7M72'}
1614271994.716828,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614271995.237617,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKNU5D6QK7M72'}
1614271995.865,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKNU5D6QK7M72'}
1614271996.48606,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AKNU5D6QK7M72'}
1614271996.908981,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKNU5D6QK7M72'}
1614271997.53771,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKNU5D6QK7M72'}
1614271998.266281,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AKNU5D6QK7M72'}
1614271998.790227,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AKNU5D6QK7M72'}
1614271999.936782,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKNU5D6QK7M72'}
1614271999.93808,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614272029.914201,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614272032.736884,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272033.256298,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272033.988953,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272034.604425,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272035.137044,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272035.362535,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272037.330466,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272037.68445,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272038.479193,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272039.001546,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272039.209954,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272040.048248,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272042.657558,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKNU5D6QK7M72'}
1614272043.283806,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKNU5D6QK7M72'}
1614272043.702353,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKNU5D6QK7M72'}
1614272044.505608,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AKNU5D6QK7M72'}
1614272045.163818,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKNU5D6QK7M72'}
1614272045.99968,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKNU5D6QK7M72'}
1614272046.729466,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKNU5D6QK7M72'}
1614272046.94198,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614272047.780043,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AKNU5D6QK7M72'}
1614272048.278297,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKNU5D6QK7M72'}
1614272048.825442,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AKNU5D6QK7M72'}
1614272049.447697,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKNU5D6QK7M72'}
1614272049.864067,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AKNU5D6QK7M72'}
1614272050.28445,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AKNU5D6QK7M72'}
1614272050.80418,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AKNU5D6QK7M72'}
1614272051.542836,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKNU5D6QK7M72'}
1614272051.540971,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614272081.511788,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKNU5D6QK7M72'}
1614272084.123329,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614272084.650068,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614272086.314735,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKNU5D6QK7M72'}
1614272087.256714,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKNU5D6QK7M72'}
1614272087.579933,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKNU5D6QK7M72'}
1614272088.510746,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AKNU5D6QK7M72'}
1614272089.135974,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AKNU5D6QK7M72'}
1614272091.643035,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272092.34456,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKNU5D6QK7M72'}
1614272097.1793,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKNU5D6QK7M72'}
1614272097.805669,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKNU5D6QK7M72'}
1614272098.119514,AKNU5D6QK7M72,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKNU5D6QK7M72'}
