
1616349513.574477,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349513.888442,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349514.30596,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349514.849944,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349515.554045,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349516.186088,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349516.253508,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349516.498872,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349517.131633,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349517.752355,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349517.867412,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3T61NKKEVC5V0'}
1616349519.005848,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349519.110415,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349519.632221,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T61NKKEVC5V0'}
1616349520.468569,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349520.589364,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349521.169914,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T61NKKEVC5V0'}
1616349522.245081,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T61NKKEVC5V0'}
1616349522.331961,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T61NKKEVC5V0'}
1616349522.662412,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T61NKKEVC5V0'}
1616349523.81298,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3T61NKKEVC5V0'}
1616349523.981617,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3T61NKKEVC5V0'}
1616349524.646361,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3T61NKKEVC5V0'}
1616349525.690588,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T61NKKEVC5V0'}
1616349526.005965,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T61NKKEVC5V0'}
1616349526.094604,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T61NKKEVC5V0'}
1616349527.049213,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T61NKKEVC5V0'}
1616349527.258569,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T61NKKEVC5V0'}
1616349527.466039,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T61NKKEVC5V0'}
1616349528.511923,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T61NKKEVC5V0'}
1616349528.585503,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T61NKKEVC5V0'}
1616349529.033056,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T61NKKEVC5V0'}
1616349529.660029,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T61NKKEVC5V0'}
1616349529.780643,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T61NKKEVC5V0'}
1616349530.077751,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3T61NKKEVC5V0'}
1616349531.293518,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T61NKKEVC5V0'}
1616349531.542138,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T61NKKEVC5V0'}
1616349532.063212,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T61NKKEVC5V0'}
1616349533.212103,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T61NKKEVC5V0'}
1616349533.213113,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349563.18565,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T61NKKEVC5V0'}
1616349594.087093,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3T61NKKEVC5V0'}
1616349595.469178,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3T61NKKEVC5V0'}
1616349596.507973,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3T61NKKEVC5V0'}
1616349596.721751,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3T61NKKEVC5V0'}
1616349597.761242,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3T61NKKEVC5V0'}
1616349597.921808,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3T61NKKEVC5V0'}
1616349598.812273,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T61NKKEVC5V0'}
1616349599.019663,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3T61NKKEVC5V0'}
1616349600.064382,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T61NKKEVC5V0'}
1616349600.372344,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3T61NKKEVC5V0'}
1616349601.09403,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3T61NKKEVC5V0'}
1616349601.416655,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3T61NKKEVC5V0'}
1616349602.81514,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T61NKKEVC5V0'}
1616349602.983904,A3T61NKKEVC5V0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T61NKKEVC5V0'}
