
1616100792.563296,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100793.294454,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AZMOA8ONG0D2U'}
1616100793.50259,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AZMOA8ONG0D2U'}
1616100794.234645,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100795.070716,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100795.488545,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100796.323238,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AZMOA8ONG0D2U'}
1616100796.950527,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AZMOA8ONG0D2U'}
1616100797.47165,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AZMOA8ONG0D2U'}
1616100798.098317,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AZMOA8ONG0D2U'}
1616100798.724987,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AZMOA8ONG0D2U'}
1616100799.038572,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AZMOA8ONG0D2U'}
1616100799.560568,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100800.083185,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
1616100800.500619,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AZMOA8ONG0D2U'}
1616100801.02639,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AZMOA8ONG0D2U'}
1616100801.649419,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AZMOA8ONG0D2U'}
1616100802.067187,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AZMOA8ONG0D2U'}
1616100802.798166,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AZMOA8ONG0D2U'}
1616100803.312231,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AZMOA8ONG0D2U'}
1616100804.574037,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100804.574777,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AZMOA8ONG0D2U'}
1616100834.656378,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AZMOA8ONG0D2U'}
1616100836.326642,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100836.849401,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AZMOA8ONG0D2U'}
1616100837.894083,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100838.314916,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100838.938294,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AZMOA8ONG0D2U'}
1616100839.982556,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100840.29574,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AZMOA8ONG0D2U'}
1616100841.862897,AZMOA8ONG0D2U,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AZMOA8ONG0D2U'}
