
1614274317.652993,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274318.055891,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274319.018695,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274319.741145,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274321.654248,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A28CTAQZT20JTM'}
1614274322.56232,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A28CTAQZT20JTM'}
1614274323.709784,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274324.754955,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274326.00189,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A28CTAQZT20JTM'}
1614274329.246555,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A28CTAQZT20JTM'}
1614274330.499614,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274331.021132,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A28CTAQZT20JTM'}
1614274332.587696,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A28CTAQZT20JTM'}
1614274333.737509,A28CTAQZT20JTM,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A28CTAQZT20JTM'}
