
1614298909.284189,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.290521,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.324722,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.326325,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.32871,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.331115,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.358138,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.365015,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.405558,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.412359,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.418575,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.431997,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.437677,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.445082,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.479712,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.491911,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.498076,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.509587,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.514435,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.51959,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.555944,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.56811,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.58893,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.590311,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.593776,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.595123,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
1614298909.635455,AG9LMLEPXP2YC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AG9LMLEPXP2YC'}
