
1614035049.610114,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035049.974397,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AAASQIW3J32OL'}
1614035051.697793,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035051.90915,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035052.127128,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035052.560659,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035052.84715,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035053.369689,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035054.30891,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAASQIW3J32OL'}
1614035054.517714,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AAASQIW3J32OL'}
1614035055.984002,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035056.193656,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AAASQIW3J32OL'}
1614035057.54722,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614035057.860172,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614035059.218716,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AAASQIW3J32OL'}
1614035059.844852,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AAASQIW3J32OL'}
1614035060.785142,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AAASQIW3J32OL'}
1614035061.522191,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AAASQIW3J32OL'}
1614035062.665512,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035063.81482,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AAASQIW3J32OL'}
1614035064.441436,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AAASQIW3J32OL'}
1614035064.963513,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AAASQIW3J32OL'}
1614035065.694348,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AAASQIW3J32OL'}
1614035066.322318,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AAASQIW3J32OL'}
1614035067.887566,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AAASQIW3J32OL'}
1614035069.247618,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614035069.250217,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AAASQIW3J32OL'}
1614035099.327607,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AAASQIW3J32OL'}
1614035101.207827,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614035101.626972,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614035102.044362,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AAASQIW3J32OL'}
1614035104.834702,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035104.96887,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AAASQIW3J32OL'}
1614035106.115904,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035106.251164,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AAASQIW3J32OL'}
1614035107.266978,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAASQIW3J32OL'}
1614035107.58573,AAASQIW3J32OL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AAASQIW3J32OL'}
