
1614275350.973333,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275352.85155,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275353.690423,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275356.837677,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275357.760205,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275359.328803,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275360.162092,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275361.312181,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275362.402561,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275363.192836,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275364.341351,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275365.176306,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275366.01184,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275367.372678,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275368.435391,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275369.669193,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275370.716264,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275371.96619,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275375.936742,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275375.939835,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275378.026434,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275378.029285,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275388.950289,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275388.980651,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275392.612176,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275395.048916,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275403.052096,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275403.053858,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275407.374811,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275407.376339,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275409.882048,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275409.88414,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275411.553388,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275411.552164,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275438.50063,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275438.503101,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275449.049596,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275449.780138,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275451.034094,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275453.540898,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275454.379793,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275455.31691,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275457.823344,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275460.958227,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275462.837722,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275462.839835,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275465.032834,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275465.031334,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275467.017059,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275467.018895,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275469.531881,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275469.551322,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275471.507555,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275471.509546,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275473.281301,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275473.283224,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275528.014589,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275528.017731,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275535.325549,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275536.473856,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275538.45877,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275538.461903,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275539.714161,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275539.716028,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275632.254847,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275632.989218,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275639.357077,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275640.151034,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275641.076809,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275642.076486,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275642.907701,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275882.725543,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275882.727535,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275884.50178,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275884.503864,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275894.737265,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275895.678076,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275899.229166,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275908.733509,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275909.465471,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275912.597455,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275925.034785,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275925.863582,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275930.352354,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275931.50424,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275937.039257,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275937.769909,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AJ9D1YJTH7C0Y'}
1614275939.859144,AJ9D1YJTH7C0Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AJ9D1YJTH7C0Y'}
