
1614300278.433527,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300279.374428,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300280.418391,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300280.836122,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300289.400814,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300290.445122,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300290.758301,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300291.176797,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300292.325377,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300292.481736,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300293.056702,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3NXT3OVGL7QNR'}
1614300294.101721,A3NXT3OVGL7QNR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3NXT3OVGL7QNR'}
