
1614014002.38469,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614014002.80248,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A273EH17NSJRH0'}
1614014003.221488,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014004.264698,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614014004.265786,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614014034.241583,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614014037.791773,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614014038.106302,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614014039.254179,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614014039.776898,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614014041.242938,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614014041.761615,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614014043.3278,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014043.641594,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014043.954022,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014044.998728,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014045.416122,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014045.940254,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014049.176267,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014049.385673,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014049.803464,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014051.163034,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A273EH17NSJRH0'}
1614014053.145295,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A273EH17NSJRH0'}
1614014053.358173,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A273EH17NSJRH0'}
1614014053.98136,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A273EH17NSJRH0'}
1614014054.712364,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A273EH17NSJRH0'}
1614014055.130025,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614014055.547986,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A273EH17NSJRH0'}
1614014055.884979,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A273EH17NSJRH0'}
1614014056.556669,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A273EH17NSJRH0'}
1614014057.011177,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614014057.428199,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A273EH17NSJRH0'}
1614014058.682816,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614014058.686394,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614014088.660984,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614014092.3141,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014092.409923,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614014092.940884,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614014093.149749,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614014093.671807,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A273EH17NSJRH0'}
1614014093.908907,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A273EH17NSJRH0'}
1614014094.510149,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614014094.629236,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614014095.240322,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A273EH17NSJRH0'}
1614014095.436365,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A273EH17NSJRH0'}
1614014095.969666,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614014096.114505,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614014096.702157,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614014096.8038,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614014098.901355,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614014104.950953,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014105.271301,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014105.68362,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614014108.600807,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014108.921238,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014109.443954,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614014111.431053,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614014111.530998,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614014112.055014,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614014114.24783,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A273EH17NSJRH0'}
1614014114.550678,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A273EH17NSJRH0'}
1614014115.292376,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A273EH17NSJRH0'}
1614014115.921343,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A273EH17NSJRH0'}
