
1616164551.349438,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164551.661874,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164553.541389,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164553.750062,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164554.272805,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164557.093379,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164557.59144,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164558.34625,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164559.181556,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164559.599225,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164560.121074,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164560.86031,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164561.478971,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164562.107729,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164562.439141,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164563.151157,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164563.882252,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164564.508212,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164569.836062,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164569.837054,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164599.81241,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164602.946736,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164603.363434,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164603.886809,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164604.825696,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164605.243964,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164606.187202,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164606.496991,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164607.333442,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164607.517165,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164609.422616,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164609.633212,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164612.660754,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164612.869073,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164613.077623,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164616.21115,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164616.838326,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164617.551303,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164618.196574,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164618.613116,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164619.243978,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164619.866478,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164620.388794,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164620.911704,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164621.643627,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164622.269131,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164625.50775,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164628.224708,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164628.43215,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164630.104613,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164630.10515,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164660.080684,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164661.437567,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
