
1616203496.037401,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203496.29633,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203497.169301,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203497.268502,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203499.118572,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203499.174591,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203500.267666,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203500.28998,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203500.47411,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203502.458969,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203503.617795,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203505.905605,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203507.369488,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203508.308175,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A18BBM4JCRJCZ7'}
