
1614025599.556873,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FGKKWP33DFWS'}
1614025600.288569,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FGKKWP33DFWS'}
1614025602.481818,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025602.484465,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2FGKKWP33DFWS'}
1614025632.43735,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2FGKKWP33DFWS'}
1614025634.425631,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FGKKWP33DFWS'}
1614025635.489549,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2FGKKWP33DFWS'}
1614025636.427672,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FGKKWP33DFWS'}
1614025636.845857,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2FGKKWP33DFWS'}
1614025637.995532,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FGKKWP33DFWS'}
1614025638.413599,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2FGKKWP33DFWS'}
1614025639.561503,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FGKKWP33DFWS'}
1614025639.978603,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FGKKWP33DFWS'}
1614025640.496219,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2FGKKWP33DFWS'}
1614025643.050307,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2FGKKWP33DFWS'}
1614025644.053168,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2FGKKWP33DFWS'}
1614025644.784993,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2FGKKWP33DFWS'}
1614025649.484495,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025650.215241,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025659.511796,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025660.033578,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2FGKKWP33DFWS'}
1614025660.974935,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025662.018511,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2FGKKWP33DFWS'}
1614025664.001945,A2FGKKWP33DFWS,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2FGKKWP33DFWS'}
