
1614014933.586025,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014933.900426,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014934.318519,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614014934.745787,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014935.57058,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ARI1EMAHUA9PO'}
1614014935.988394,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ARI1EMAHUA9PO'}
1614014936.614995,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ARI1EMAHUA9PO'}
1614014937.070938,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014937.555281,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014938.142736,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014938.600391,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014939.017985,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ARI1EMAHUA9PO'}
1614014939.643022,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014940.061881,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ARI1EMAHUA9PO'}
1614014940.68872,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ARI1EMAHUA9PO'}
1614014941.524221,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ARI1EMAHUA9PO'}
1614014942.047822,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ARI1EMAHUA9PO'}
1614014943.719171,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ARI1EMAHUA9PO'}
1614014943.721382,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614014973.591274,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ARI1EMAHUA9PO'}
1614014977.767699,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614014978.167112,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614014978.603682,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'ARI1EMAHUA9PO'}
1614014979.544168,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ARI1EMAHUA9PO'}
1614014980.170099,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ARI1EMAHUA9PO'}
1614014981.320127,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ARI1EMAHUA9PO'}
1614014981.945857,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ARI1EMAHUA9PO'}
1614014982.677137,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ARI1EMAHUA9PO'}
1614014983.199512,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ARI1EMAHUA9PO'}
1614014983.828317,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'ARI1EMAHUA9PO'}
1614014984.453402,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ARI1EMAHUA9PO'}
1614014984.97543,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ARI1EMAHUA9PO'}
1614014985.813238,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ARI1EMAHUA9PO'}
1614014986.137054,ARI1EMAHUA9PO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ARI1EMAHUA9PO'}
