
1616347780.206334,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347781.594513,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347781.798549,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347783.051253,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347783.265619,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347784.729622,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347784.937106,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347785.830786,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347786.60789,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347787.542894,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616347788.27929,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616347789.001843,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616347789.951925,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616347790.577117,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347791.517262,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347792.352783,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616347793.084559,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
1616347793.815333,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616347794.868272,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616347795.590821,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F83626'}
1616347796.842537,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347798.308325,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616347798.313072,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347828.387958,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616347832.045581,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347832.101731,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347832.880058,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616347833.928444,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347833.929473,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347833.995928,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347834.378103,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347834.969129,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347835.386161,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616347836.430782,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616347836.556097,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616347837.469754,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347837.556957,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616347839.043399,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616347839.044129,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616347839.459518,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347839.544413,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616347840.557099,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347840.702198,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616347841.737147,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616347842.176213,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616347842.906416,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F83626'}
1616347843.63259,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
1616347844.369018,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616347845.309031,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616347846.144498,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616347847.188798,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616347848.02495,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616347848.91312,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616347849.799975,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616347851.683389,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616347851.684066,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616347881.651681,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616348044.287731,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'F83626'}
1616348048.568591,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'F83626'}
1616348048.570748,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'F83626'}
1616348050.344727,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616348050.350339,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'F83626'}
1616348050.353099,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'F83626'}
1616348051.39005,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'F83626'}
1616348051.390584,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'F83626'}
1616348052.956041,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'F83626'}
1616348052.956812,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616348054.522531,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616348054.523213,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'F83626'}
1616348084.624693,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616348087.528012,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616348088.245589,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616348089.199109,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616348089.925188,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616348090.700599,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616348091.601671,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616348092.333993,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616348093.094343,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616348093.755306,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616348094.735038,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616348095.884893,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616348096.511293,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
1616348097.242376,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'F83626'}
1616348097.870209,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'F83626'}
1616348098.704474,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'F83626'}
1616348099.853001,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616348100.741754,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616348102.14084,F83626,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'F83626'}
1616348102.285942,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'F83626'}
1616348132.232452,F83626,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'F83626'}
1616348133.382075,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616348133.903646,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'F83626'}
1616348134.802948,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'F83626'}
1616348135.679846,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'F83626'}
1616348136.308072,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'F83626'}
1616348137.037176,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'F83626'}
1616348137.772863,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'F83626'}
1616348138.43386,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'F83626'}
1616348139.340152,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'F83626'}
1616348139.966909,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'F83626'}
1616348140.805369,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'F83626'}
1616348141.633422,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'F83626'}
1616348142.262704,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'F83626'}
1616348143.304077,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'F83626'}
1616348144.134663,F83626,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'F83626'}
