
1614305547.761256,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.5742857142857143,0.7414285714285714]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305567.081024,A2PUL3ZDXOW0VZ,{'action': 'select-vehicle', 'target': 'UAV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305567.207407,A2PUL3ZDXOW0VZ,{'action': 'select-vehicle', 'target': 'UAV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305568.546024,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.5857142857142857,0.9666666957310268]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305571.14795,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.5785714285714286,0.9866666957310268]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305573.034627,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UAV 1', 'location': '[0.6485714285714286,0.763809552873884]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305590.373125,A2PUL3ZDXOW0VZ,{'action': 'select-vehicle', 'target': 'UGV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305594.449051,A2PUL3ZDXOW0VZ,{'action': 'remove-waypoint', 'target': 'UGV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305598.834586,A2PUL3ZDXOW0VZ,{'action': 'deselect-vehicle', 'target': 'UGV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305603.951474,A2PUL3ZDXOW0VZ,{'action': 'select-vehicle', 'target': 'UGV 1', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
1614305607.502039,A2PUL3ZDXOW0VZ,{'action': 'add-valid-waypoint', 'target': 'UGV 1', 'location': '[0.5828571428571429,0.860952410016741]', 'worker-id': 'A2PUL3ZDXOW0VZ', 'stage': 0}
