
1614298684.66814,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298686.46288,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298686.465313,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21ZK49H9LSSRY'}
1614298716.525826,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298719.555627,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298719.668443,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298721.017255,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298721.436043,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298722.167327,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298722.792891,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298723.105977,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298723.524248,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298724.463826,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A21ZK49H9LSSRY'}
1614298724.986478,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A21ZK49H9LSSRY'}
1614298725.299736,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298725.821629,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298726.448498,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298726.867708,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A21ZK49H9LSSRY'}
1614298727.285181,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A21ZK49H9LSSRY'}
1614298727.78048,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A21ZK49H9LSSRY'}
1614298728.538373,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A21ZK49H9LSSRY'}
1614298729.582074,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A21ZK49H9LSSRY'}
1614298729.607453,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A21ZK49H9LSSRY'}
1614298730.360067,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A21ZK49H9LSSRY'}
1614298730.859919,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A21ZK49H9LSSRY'}
1614298731.462468,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A21ZK49H9LSSRY'}
1614298732.507528,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298732.509713,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21ZK49H9LSSRY'}
1614298762.591486,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298765.199797,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298765.513998,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A21ZK49H9LSSRY'}
1614298766.662326,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298766.975615,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A21ZK49H9LSSRY'}
1614298768.228814,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
1614298769.377696,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A21ZK49H9LSSRY'}
