
1614020655.383869,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020657.635117,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020657.799356,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020657.811618,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020657.834619,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020659.878877,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020659.880971,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020659.902692,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020663.320221,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020663.321784,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020663.324027,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020664.159065,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020664.157262,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020665.201796,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020671.783291,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020671.781504,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020671.861347,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020671.863582,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020671.930663,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020672.720817,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020673.036184,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020673.037927,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020675.043159,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020675.051617,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020675.049797,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020675.855221,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020681.390617,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020681.392396,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020689.538241,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020691.627294,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020691.837505,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020691.835529,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020691.862933,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020692.67445,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020694.578048,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020694.577258,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020694.7006,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020694.864399,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020696.013408,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020696.294921,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020696.300323,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020701.547891,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020702.291077,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020703.745302,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020704.370086,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020706.87595,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020707.581075,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020708.656476,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020710.221137,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020711.262865,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020711.472722,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020713.143197,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020714.294199,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020716.070136,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020716.068393,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020718.2614,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020719.342705,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020720.664011,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020720.877626,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020722.755972,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020724.006088,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020725.57407,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020725.576666,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020725.782328,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020727.895583,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020728.059447,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2JQ5M7U6BRDL9'}
1614020728.601853,A2JQ5M7U6BRDL9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2JQ5M7U6BRDL9'}
