
1616108785.688497,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108785.866323,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108786.843909,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108787.044495,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108788.09001,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108789.449063,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108789.673712,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108790.909792,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108791.746546,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108793.121487,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108793.522493,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108794.080575,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108794.879258,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108795.192165,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108795.819144,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108796.599829,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108797.072236,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108797.490521,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108797.908136,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108798.534998,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108799.163802,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108799.680451,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108800.101,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108800.837445,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108801.461509,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108802.190327,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108803.131514,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108803.132789,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108833.107416,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SAZ2K1V1WJ0V'}
1616108834.988866,A2SAZ2K1V1WJ0V,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SAZ2K1V1WJ0V'}
