
1614013347.805031,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013348.325965,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013348.641453,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013349.266794,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013349.380046,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013349.789325,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013350.310923,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013350.450869,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013350.728526,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013351.564045,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013351.774874,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013351.981749,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013352.5987,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013352.820195,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013352.950901,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013354.070196,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013354.073309,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013354.488875,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013355.323703,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013355.951046,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013356.681847,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013357.30886,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013357.725948,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013358.353103,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013358.770875,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013359.1892,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013359.814932,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013360.861855,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013360.862678,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013390.872358,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013445.045664,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013445.570001,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013446.195693,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013446.821347,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013447.240226,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013448.180275,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013448.597724,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013449.432602,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013449.849904,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013450.685184,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013451.166779,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1B5SSGMTAQ9B5'}
