
1616195827.385069,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195828.742694,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5385714285714286,0.8314285714285714]', 'worker-id': '861280728', 'stage': 0}
1616195830.139357,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195831.046625,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5385714285714286,0.8228571428571428]', 'worker-id': '861280728', 'stage': 0}
1616195831.672101,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5357142857142857,0.8385714285714285]', 'worker-id': '861280728', 'stage': 0}
1616195836.218455,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5342857142857143,0.8314285714285714]', 'worker-id': '861280728', 'stage': 0}
1616195845.165833,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.51,0.5]', 'worker-id': '861280728', 'stage': 0}
1616195846.70844,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195847.85692,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195851.199022,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.51,0.5142857142857142]', 'worker-id': '861280728', 'stage': 0}
1616195856.319043,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5285714285714286,0.8757142857142857]', 'worker-id': '861280728', 'stage': 0}
1616195857.465888,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195858.301656,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.54,0.8585714285714285]', 'worker-id': '861280728', 'stage': 0}
1616195874.503993,861280728,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195876.371491,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195878.881248,861280728,{'stage': 0, 'action': 'reset map', 'worker-id': '861280728'}
1616195879.956479,861280728,{'stage': 0, 'action': 'opened-page', 'worker-id': '861280728'}
1616195889.532986,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195891.829749,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5585714285714286,0.7814285714285715]', 'worker-id': '861280728', 'stage': 0}
1616195903.21636,861280728,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195905.09746,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.48857142857142855,0.7185714285714285]', 'worker-id': '861280728', 'stage': 0}
1616195933.191838,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.4657142857142857,0.6742857142857143]', 'worker-id': '861280728', 'stage': 0}
1616195935.17634,861280728,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195937.164137,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195939.6671,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5271428571428571,0.8814285714285715]', 'worker-id': '861280728', 'stage': 0}
1616195943.218098,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195945.516458,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195946.665347,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195947.919601,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5042857142857143,0.7814285714285715]', 'worker-id': '861280728', 'stage': 0}
1616195950.216283,861280728,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 0}
1616195951.260562,861280728,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195952.829976,861280728,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49,0.53]', 'worker-id': '861280728', 'stage': 0}
1616195973.838865,861280728,{'action': 'remove-waypoint', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195977.374195,861280728,{'action': 'deselect-vehicle', 'target': 'UAV1', 'worker-id': '861280728', 'stage': 0}
1616195977.583995,861280728,{'stage': 0, 'action': 'stage-complete', 'worker-id': '861280728'}
1616195991.245134,861280728,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 3}
1616195992.421096,861280728,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.4657142857142857,0.8371428571428572]', 'worker-id': '861280728', 'stage': 3}
1616196006.35764,861280728,{'action': 'remove-waypoint', 'target': 'UGV1', 'worker-id': '861280728', 'stage': 3}
