
1614273275.52384,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273276.154311,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273276.466159,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273276.885007,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273277.301589,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273277.745233,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273278.033405,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273278.452181,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273279.079297,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273279.910959,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273280.226538,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273281.688383,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273281.690745,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273311.46095,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273312.953677,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273313.444252,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273314.173542,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273314.449441,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273315.009791,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273316.369571,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273316.889843,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273317.062317,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273317.415381,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273318.247063,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273318.562414,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273319.187179,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273319.500759,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273320.235371,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273320.545892,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273321.113921,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273321.589993,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273322.218272,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273322.415216,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273322.908871,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273323.994451,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273323.997336,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273353.971034,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273355.539577,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273356.120132,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273356.688272,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273356.697909,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273357.417759,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273357.498907,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273358.070904,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273358.353334,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273358.988007,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273360.313961,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273360.969816,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273361.422676,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273362.124608,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273362.537597,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273363.269343,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273363.444446,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273364.520913,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273364.610603,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273364.897795,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273365.565323,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273366.009016,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273366.50564,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273367.242094,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273367.260536,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273397.321138,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273399.307827,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273399.34522,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273399.826847,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273399.93653,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273400.975521,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273401.185285,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273401.707855,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273403.065452,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273403.392847,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273404.109772,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
1614273404.303698,A3CF8ULBSE8MTL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CF8ULBSE8MTL'}
