
1616189321.213155,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1VWP7HOSGKATD'}
1616189322.144536,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1VWP7HOSGKATD'}
1616189323.607601,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189323.746279,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189324.032553,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1VWP7HOSGKATD'}
1616189325.210602,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1VWP7HOSGKATD'}
1616189325.488231,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1VWP7HOSGKATD'}
1616189327.368022,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189327.995255,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189328.203226,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1VWP7HOSGKATD'}
1616189329.770562,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1VWP7HOSGKATD'}
1616189329.77098,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1VWP7HOSGKATD'}
1616189331.64978,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1VWP7HOSGKATD'}
1616189331.962849,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1VWP7HOSGKATD'}
1616189332.090179,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1VWP7HOSGKATD'}
1616189333.320612,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1VWP7HOSGKATD'}
1616189335.20199,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189335.296829,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189335.723283,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189336.445766,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1VWP7HOSGKATD'}
1616189337.708421,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1VWP7HOSGKATD'}
1616189337.837308,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1VWP7HOSGKATD'}
1616189338.439036,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1VWP7HOSGKATD'}
1616189340.052599,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1VWP7HOSGKATD'}
1616189340.423654,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1VWP7HOSGKATD'}
1616189340.841794,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1VWP7HOSGKATD'}
1616189345.647265,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1VWP7HOSGKATD'}
1616189346.064216,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1VWP7HOSGKATD'}
1616189346.481894,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1VWP7HOSGKATD'}
1616189346.689999,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1VWP7HOSGKATD'}
1616189347.213077,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1VWP7HOSGKATD'}
1616189349.197594,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1VWP7HOSGKATD'}
