
1617306261.69417,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306263.261103,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306266.240237,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306267.230361,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306269.319138,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306269.448486,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306269.945883,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306270.679857,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306271.616711,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306272.557292,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306273.392891,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306299.192321,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306299.212643,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306329.27323,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306332.407568,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306332.675998,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306334.03098,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306334.391729,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306335.226943,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306335.564676,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306336.490651,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306336.793463,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306337.942725,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306338.255879,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306339.301508,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306339.509639,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306340.240714,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306340.657879,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306341.911768,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306342.329419,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306345.35819,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306345.776427,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306350.267417,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306354.13245,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306355.177367,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306355.909107,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306357.057584,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306357.683964,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PXJTMWGUE5DC'}
