
1617477044.45441,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617477044.681831,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617477045.178798,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617477045.937454,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477046.040028,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477046.232103,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477046.468251,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477046.654973,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477047.294076,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617477047.753913,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477047.933403,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477048.134042,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477048.314951,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477048.476459,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477048.661566,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617477049.904786,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617477050.027416,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617477050.217346,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617477050.530693,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617477050.594979,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
